arxiv_id,published,year,title,summary,authors,primary_category,all_subjects,math_categories,url,pdf_url
2606.18245v1,2026-06-16,2026,Derived functors and Hilbert polynomials over Gorenstein rings,"Let $(A,\mathfrak{m},k)$ be a Gorenstein ring of dimension $d\ge 1$, $N$ a perfect module of dimension $t\ge 1$ and $I$ an ideal of definition of $N$. For a non-free maximal Cohen-Macaulay (=MCM) $A$-module $M$ and an integer $i\ge 1$, it is well known that the functions $n \mapsto \ell(Tor_i^A(M,N/I^{n+1}N))$ and $n \mapsto \ell(Ext^i_A(M,N/I^{n+1}N))$ are of polynomial types of degrees $r_i^{I,N}(M)$ and $s_{I,N}^i(M)$, respectively. We prove that $r_i^{I,N}(M)\le t-1$ and $s^i_{I,N}(M)\le t-1$ and when $I$ is the maximal ideal $\mathfrak{m}$, both the inequalities become equalities. We also show that $r_i^{I,N}(M)\le r_1^{I,N}(Ω^dk)$, $s^i_{I,N}(M)\le s^1_{I,N}(Ω^dk)$ and $r_i^{I,N}(Ω^dk)=r_1^{I,N}(Ω^dk)=s^1_{I,N}(Ω^dk)=s^i_{I,N}(Ω^dk)$. \end","Satyabrata Paul, Tony J. Puthenpurakal",math.AC,math.AC,math.AC,http://arxiv.org/abs/2606.18245v1,https://arxiv.org/pdf/2606.18245v1
2606.17665v1,2026-06-16,2026,Non-asymptotic Tail Bounds for the Kostlan--Shub--Smale Field: Tensor PCA and Spherical $k$-Spin Complexity,"This paper builds a hierarchy of explicit, non-asymptotic tail bounds for the supremum of the Kostlan--Shub--Smale (KSS) random field on the sphere, and applies it to two problems: Spiked Tensor PCA and the landscape of the spherical $k$-spin model. For Tensor PCA, we study the non-asymptotic statistical limits of estimating a rank-$R$ symmetric signal tensor of order~$k\ge 3$ and dimension~$d\ge 3$ from a single Gaussian observation at signal-to-noise ratio~$λ$, through the \emph{profile maximum likelihood estimator}, the MLE restricted to normalized rank-$R$ tensors of coherence at least~$κ$. Our analysis uses a single reduction: a deterministic geometric inequality (the Tube Method) and a rank-reduction step bound the estimation error by the supremum of the canonical KSS field, which the Kac--Rice formula turns into a Gaussian integral against the expected absolute characteristic polynomial of a shifted Gaussian Orthogonal Ensemble, controlled in turn by the four explicit tail bounds of our hierarchy (three from a Mehta--Fyodorov representation, one from a Ben Arous--Dembo--Guionnet large deviation). The same reduction yields two results, each with explicit constants. For estimation, a finite-$(k,d)$ error bound recovers the asymptotically optimal rate~$\sqrt{d\log k}$ of Perry, Wein and Bandeira, with explicit dependence on the rank~$R$ and the coherence~$κ$. For the landscape, a two-sided non-asymptotic bracketing of the annealed complexity of the spherical $k$-spin Hamiltonian recovers the Auffinger--Ben Arous--Černý complexity function in the high-dimensional limit.","Jean-Marc Azaïs, Federico Dalmao, Yohann De Castro",math.ST,math.ST; math.PR; stat.ML,math.PR;math.ST,http://arxiv.org/abs/2606.17665v1,https://arxiv.org/pdf/2606.17665v1
2606.17725v1,2026-06-16,2026,Computing Hyperfibonacci Numbers by Means of Matrix Transformations and Jordan Forms,"The Hyperfibonacci sequence of the $r$th generation is defined recursively as a generalization of Fibonacci numbers, where each term is obtained by summing the terms of the Hyperfibonacci sequence of the preceding generation. We introduce the transformation matrix for Hyperfibonacci numbers, which enables us to determine the next term in a given generation. We explore the algebraic structure of that matrix, and its power of $n$, similarity transformations between these matrices and their Jordan canonical forms. Finally, we analyze the powers of these matrices using their Jordan forms, obtaining compact and elegant formulas for expressing $r$-generation Hyperfibonacci numbers in terms of Fibonacci numbers.","Petra Marija De Micheli Vitturi, Nevena Jakovčević Stor",math.NT,math.NT,math.NT,http://arxiv.org/abs/2606.17725v1,https://arxiv.org/pdf/2606.17725v1
2606.17720v1,2026-06-16,2026,Absolutely continuous curves in spaces of compatly supported densities,"We give a constructive proof for existence of absolutely continuous curves connecting each pair $μ,ν\in \mathrm{PL}_\infty^p(\mathbb{R}^n)$, for every $1\leq p\leq \infty$, where $(\mathrm{PL}_\infty^p(\mathbb{R}^n),\mathfrak{d}_\infty^p)$ is the complete metric space of absolutely continuous measures with density in $L^p(\mathbb{R}^n)$ and bounded support introduced in [1].",Pietro Aldrigo,math.MG,math.MG,math.MG,http://arxiv.org/abs/2606.17720v1,https://arxiv.org/pdf/2606.17720v1
2606.17715v1,2026-06-16,2026,Duality of monoids up to symmetry,"We study duality for monoids in an infinite-dimensional setting that are invariant under the action of the infinite symmetric group Sym. Our main result is an equivariant Minkowski--Weyl theorem for monoids. More precisely, we analyze the evolution of dual monoids along stabilizing Sym-invariant chains and describe the eventual behavior of their equivariant Hilbert bases. In addition, we develop a systematic study of structural properties of dual symmetric monoids, including a characterization of the duals of positive and non-positive monoids.","Dinh Van Le, Tim Römer, Nguyen Thi Vien",math.CO,math.CO; math.AC,math.AC;math.CO,http://arxiv.org/abs/2606.17715v1,https://arxiv.org/pdf/2606.17715v1
2606.17714v1,2026-06-16,2026,Sequential 1-Cohen-Macaulayness for direct sums of modules,"Let (R,m) be a Noetherian local ring and M1,...,Mn finitely generated R-modules. Set M is the direct sum of Mi. The main purpose of this paper is to extend the results on the sequential Cohen-Macaulayness of the direct sum of modules (Taniguchi et al, 2018), the sequential generalized Cohen-Macaulayness of the direct sum of modules (Cuong and Nhan, 2003) We first describe the largest submodule of M of dimension less than dimM by using the largest submodule so f its component modules. Then we give a necessary and sufficient condition for M being 1-Cohen-Macaulay. The purpose of this paper is to characterize the sequential 1-Cohen-Macaulayness of the direct sum M. We show that M is sequentially 1-Cohen-Macaulay if and only if Mi is sequentially 1-Cohen-Macaulay for all i <=n. We provide an example to clarify the results. We employ inductive methods as well as the dimension filtration of a finitely generated module.",Nguyen Xuan Linh,math.AC,math.AC,math.AC,http://arxiv.org/abs/2606.17714v1,https://arxiv.org/pdf/2606.17714v1
2606.17697v1,2026-06-16,2026,Sobolev and Michael-Simon inequalities via the ABP method beyond Euclidean volume growth,"We develop an ABP approach to Sobolev and Michael-Simon type inequalities under volume noncollapsing assumptions. The main new observation is a refinement of Brendle's contact-set argument: the ABP image contains the full geodesic ball centered at the minimum point of the Neumann potential, with radius equal to the ABP parameter. This allows one to use lower bounds for the volumes of geodesic balls, either at a fixed scale or under prescribed volume-growth assumptions, rather than positive asymptotic volume ratio. The central application is a Michael-Simon type inequality for immersed submanifolds of ambient manifolds with nonnegative sectional curvature and volume noncollapsing. The resulting inequality contains a lower-order term determined by the noncollapsing scale and applies to submanifolds with controlled mean curvature. In the intrinsic case, the same method gives an ABP proof of Varopoulos' $L^{1}$-Sobolev inequality with lower-order term, identifying the optimal constant in front of the gradient term, as well as explicit lower bounds for the isoperimetric profile in terms of lower bounds on the volumes of geodesic balls. Further geometric applications include Topping-type diameter estimates for submanifolds involving the $L^{n-1}$-norm of the mean curvature and various heat kernel and spectral estimates in the minimal case.","Debora Impera, Michele Rimoldi, Giona Veronelli",math.DG,math.DG; math.AP,math.AP;math.DG,http://arxiv.org/abs/2606.17697v1,https://arxiv.org/pdf/2606.17697v1
2606.17695v1,2026-06-16,2026,On monoids up to symmetry,"We study monoids in an infinite-dimensional setting that are invariant under the action of the infinite symmetric group Sym. Our main result establishes a local--global principle characterizing equivariant finite generation for arbitrary Sym-invariant monoids, extending earlier results that required additional assumptions. We further analyze local--global phenomena for other fundamental properties, including positivity, normality, seminormality, and simplicity. In addition, we obtain structural results for symmetric monoids, including characterizations of positivity and non-positivity, a description of their groups of units, and explicit formulas for the ranks of local symmetric monoids and stabilizing Sym-invariant chains.","Dinh Van Le, Tim Römer, Nguyen Thi Vien",math.CO,math.CO; math.AC,math.AC;math.CO,http://arxiv.org/abs/2606.17695v1,https://arxiv.org/pdf/2606.17695v1
2606.17679v1,2026-06-16,2026,Typical intersecting families are trivial,"We study the counting problem for non-uniform intersecting families in extremal set theory. Let $J(n,k)$ denote the number of intersecting families $\mathcal{F}\subset 2^{[n]}$ such that every member of $\mathcal{F}$ has size at most $k$. Extending recent counting results for uniform intersecting families, we prove that for $n\ge 2k+2+2\sqrt{k \log k}$ and $k \rightarrow +\infty$, \[ J(n,k) =(n+o(1)) 2^{\sum_{i=1}^{k} \binom{n-1}{i-1}}. \] This result reveals that typical non-uniform intersecting families of bounded size are trivial, i.e., almost all such families share a common fixed element.","Yandong Bai, Haoyun Gu, Wenston J. T. Zang",math.CO,math.CO,math.CO,http://arxiv.org/abs/2606.17679v1,https://arxiv.org/pdf/2606.17679v1
2606.17672v1,2026-06-16,2026,When Rough Data Helps: A Phase Transition in Convergence Rates for Kernel Recovery in Integral Operators,"Learning kernels in operators from data is a fundamental task that arises in nonlocal continuum mechanics, operator learning, and interacting particle systems. A central question is how the roughness of input data impacts the accuracy of kernel recovery. We quantify the roughness of the input data via its spectral decay exponent and analyze how it determines the degree of ill-posedness of the inverse problem and, consequently, the convergence rates of the Tikhonov-regularized estimator in the small-noise limit. Within this framework, we identify a phase transition between an under-rough regime, in which rougher data improves recovery, and an over-rough regime, in which further roughening leads to slower rates. These theoretical findings are supported by numerical experiments ranging from idealized settings to more realistic configurations, with quantitative agreement in the former and broad consistency of the main trends in the latter.","Jihong Wang, Fei Lu, Yue Yu",math.NA,math.NA,math.NA,http://arxiv.org/abs/2606.17672v1,https://arxiv.org/pdf/2606.17672v1
